"We gratefully acknowledge the authors, originating and submitting laboratories of the sequences from GISAID’s EpiFlu™ Database on which this research is based. The list is detailed below."						
All submitters of data may be contacted directly via www.gisaid.org						
Accession ID	Virus name	Location	Collection date	Originating lab	Submitting lab	Authors
EPI_ISL_407073	BetaCoV/England/02/2020	Europe / England	2020-01-29	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"	"Monica Galiano, Shahjahan Miah, Richard Myers, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon."
EPI_ISL_407071	BetaCoV/England/01/2020	Europe / England	2020-01-29	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"	"Monica Galiano, Shahjahan Miah, Richard Myers, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon"
EPI_ISL_407214	BetaCoV/USA/WA1-A12/2020	North America / USA / Washington	2020-01-25	WA State Department of Health	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"	"Krista Queen, Azaibi Tamin, Jennifer Harcourt, Ying Tao, Clinton R. Paden, Jing Zhang, Yan Li, Anna Uehara, Xiaoyan Lu, Shifaq Kamili, Rashi Gautam, Haibin Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Natalie Thornburg, Suxiang Tong"
EPI_ISL_407313	BetaCoV/Hangzhou/HZCDC0001/2020	Asia / China / Zhejiang / Hangzhou	2020-01-19	Hangzhou Center for Disease Control and Prevention	Hangzhou Center for Disease Control and Prevention	"Jun Li, Haoqiu Wang, Hua Yu, Lingfeng Mao, Xinfen Yu, Zhou Sun, Qingxin Kong, Xin Qian, Shuchang Chen, Xuchu Wang"
EPI_ISL_407893	BetaCoV/Australia/NSW01/2020	Oceania / Australia / New South Wales / Sydney	2020-01-24	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	"Eden J-S, Carter I, Rahman H, Holmes EC, Rockett R, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group"
EPI_ISL_407976	BetaCoV/Belgium/GHB-03021/2020	Europe / Belgium / Leuven	2020-02-03	"KU Leuven, Clinical and Epidemiological Virology"	"KU Leuven, Clinical and Epidemiological Virology"	"Bert Vanmechelen, Elke Wollants, Annabel Rector, Els Keyaerts, Lies Laenen, Marc Van Ranst, and Piet Maes"
EPI_ISL_407988	BetaCoV/Singapore/3/2020	Asia / Singapore	2020-02-01	National Centre for Infectious Diseases	"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"	"Danielle E Anderson, Martin Linster, Yan Zhuang, Jayanthi Jayakumar, David CB Lye, Yee Sin Leo, Barnaby E Young, Yvonne CF Su, Linfa Wang, Gavin JD Smith"
EPI_ISL_407987	BetaCoV/Singapore/2/2020	Asia / Singapore	2020-01-25	Singapore General Hospital	"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"	"Danielle E Anderson, Martin Linster, Yan Zhuang, Jayanthi Jayakumar, Kian Sing Chan, Lynette LE Oon, Jenny GH Low, Yvonne CF Su, Linfa Wang, Gavin JD Smith"
EPI_ISL_408010	BetaCoV/USA/CA5/2020	North America / USA / California	2020-01-29	California Department of Health	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention "	"Ying Tao, Krista Queen, Jing Zhang, Yan Li, Anna Uehara, Clinton Paden, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_408009	BetaCoV/USA/CA4/2020	North America / USA / California	2020-01-29	California Department of Health	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention "	"Krista Queen, Jing Zhang, Yan Li, Ying Tao, Anna Uehara, Clinton Paden, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_408068	BetaCoV/Italy/INMI1/2020	Europe / Italy / Rome	2020-01-29	Virology Laboratory National Institute for Infectious Diseases 'Lazzaro Spallanzani' IRCCS	Virology Laboratory National Institute for Infectious Diseases 'Lazzaro Spallanzani' IRCCS	"Capobianchi,M.R., Carletti,F., Lalle,E., Bordi,L., Marsella,P.,Colavita,F., Matusali,G., Nicastri,E., Ippolito,G. and Castilletti,C."
EPI_ISL_408008	BetaCoV/USA/CA3/2020	North America / USA / California	2020-01-29	California Department of Health	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention"	"Krista Queen, Jing Zhang, Yan Li, Ying Tao, Anna Uehara, Clinton Paden, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_408430	BetaCoV/France/IDF0515/2020	Europe / France / Ile-de-France / Paris	2020-01-29	"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris"	"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"	"Mélanie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Yazdan Yazdanpanah, Xavier Lescure"
EPI_ISL_408431	BetaCov/France/IDF0626/2020	Europe / France / Ile-de-France / Paris	2020-01-29	"Sorbonne Université, Inserm et Assistance Publique-Hôpitaux de Paris (Pitié Salpétrière)"	"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"	"Mélanie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Sonia Burrel, Anne-Geneviève Marcelin, Vincent Calvez, David Boutolleau, Elise Klément, Valérie Pourcher, Eric Caumes."
EPI_ISL_408480	BetaCoV/Yunnan/IVDC-YN-003/2020	Asia / China / Yunnan / Kunming	2020-01-17	"National Institute for Viral Disease Control and Prevention, China CDC "	"National Institute for Viral Disease Control & Prevention, CCDC"	"Wenjie Tan_Xiaoqing Fu_Xiang Zhao_Wenling Wang_ Peihua Niu_Roujian Lu,Yanhong Sun_Baoying Huang_Li Zhao_Fei Ye_Wenbo Xu_George F. Gao_Guizhen Wu "
EPI_ISL_408481	BetaCoV/Chongqing/IVDC-CQ-001/2020	Asia / China / Chongqing	2020-01-18	"National Institute for Viral Disease Control and Prevention, China CDC "	"National Institute for Viral Disease Control & Prevention, CCDC"	"Wenjie Tan, Hengqin Wang, Xiang Zhao, Wenling Wang, Peihua Niu, Roujian Lu, Sheng Ye, Baoying Huang, Li Zhao, Fei Ye, Wenbo Xu, George F. Gao, Guizhen Wu "
EPI_ISL_408482	BetaCoV/Shandong/IVDC-SD-001/2020	Asia / China / Shandong / Qingdao	2020-01-19	"National Institute for Viral Disease Control and Prevention, China CDC "	"National Institute for Viral Disease Control & Prevention, CCDC"	"Wenjie Tan, Zhaoguo Wang, Xiang Zhao, Wenling Wang, Peihua Niu, Roujian Lu, Ti Liu, Baoying Huang, Li Zhao, Fei Ye, Wenbo Xu, George F. Gao, Guizhen Wu "
EPI_ISL_408484	BetaCoV/Sichuan/IVDC-SC-001/2020	Asia / China / Sichuan / Chengdu	2020-01-15	"National Institute for Viral Disease Control and Prevention, China CDC "	"National Institute for Viral Disease Control & Prevention, CCDC"	"Wenjie Tan, Jianan Xu, Wenling Wang, Peihua Niu, Roujian Lu, Huiping Yang, Xiang Zhao, Baoying Huang, Li Zhao, Fei Ye, Wenbo Xu, George F. Gao, Guizhen Wu "
EPI_ISL_408486	BetaCoV/Jiangxi/IVDC-JX-002/2020	Asia / China / Jiangxi / Pingxiang	2020-01-11	"National Institute for Viral Disease Control and Prevention, China CDC "	"National Institute for Viral Disease Control & Prevention, CCDC"	"Wenjie Tan, Yong Shi, Wenling Wang, Peihua Niu, Roujian Lu, Jianxiong Li, Xiang Zhao, Baoying Huang, Li Zhao, Fei Ye, Wenbo Xu, George F. Gao, Guizhen Wu "
EPI_ISL_408488	BetaCoV/Jiangsu/IVDC-JS-001/2020	Asia / China / Jiangsu / Huaian	2020-01-19	"National Institute for Viral Disease Control and Prevention, China CDC "	"National Institute for Viral Disease Control & Prevention, CCDC"	"Wenjie Tan, Shenjiao Wang, Wenling Wang, Peihua Niu, Roujian Lu, Kangchen Zhao, Xiang Zhao, Baoying Huang, Li Zhao, Fei Ye, Wenbo Xu, George F. Gao, Guizhen Wu "
EPI_ISL_408489	BetaCoV/Taiwan/NTU01/2020	Asia / Taiwan / Taipei	2020-01-31	"Department of Laboratory Medicine, National Taiwan University Hospital"	"Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine"	"Shiou-Hwei Yeh, You-Yu Lin, Ya-Yun Lai, Chiao-Ling Li, Shan-Chwen Chang, Pei-Jer Chen, Sui-Yuan Chang"
EPI_ISL_408514	BetaCoV/Wuhan/IVDC-HB-envF13-20/2020	Asia / China / Hubei / Wuhan	2020-01-01	"Institute of Viral Disease Control and Prevention, China CDC"	"Institute of Viral Disease Control and Prevention, China CDC"	"William J. Liu, Peipei Liu, Xiang Zhao, Peihua Niu, Yingze Zhao, Wenwen Lei, Ziqian Xu, Shumei Zou, Wei Zhen, Beiwei Ye, Mengjie Yang, Weifeng Shi, Roujian Lu, Wenjie Tan, Zhixiao Chen, Yuchao Wu, Juan Song, Weimin Zhou, Dayan Wang, Jun Han, Wenbo Xu, George F. Gao, Guizhen Wu"
EPI_ISL_408515	BetaCoV/Wuhan/IVDC-HB-envF13-21/2020	Asia / China / Hubei / Wuhan	2020-01-01	"Institute of Viral Disease Control and Prevention, China CDC"	"Institute of Viral Disease Control and Prevention, China CDC"	"William J. Liu, Peipei Liu, Xiang Zhao, Peihua Niu, Yingze Zhao, Wenwen Lei, Ziqian Xu, Shumei Zou, Wei Zhen, Beiwei Ye, Mengjie Yang, Weifeng Shi, Roujian Lu, Wenjie Tan, Zhixiao Chen, Yuchao Wu, Juan Song, Weimin Zhou, Dayan Wang, Jun Han, Wenbo Xu, George F. Gao, Guizhen Wu"
EPI_ISL_408665	BetaCoV/Japan/TY-WK-012/2020	Asia / Japan / Tokyo	2020-01-29	"Dept. of Virology III, National Institute of Infectious Diseases"	"Pathogen Genomics Center, National Institute of Infectious Diseases"	"Tsuyoshi Sekizuka, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Makoto Takeda, Makoto Kuroda"
EPI_ISL_408666	BetaCoV/Japan/TY-WK-501/2020	Asia / Japan / Tokyo	2020-01-31	"Dept. of Virology III, National Institute of Infectious Diseases"	"Pathogen Genomics Center, National Institute of Infectious Diseases"	"Tsuyoshi Sekizuka, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Makoto Takeda, Makoto Kuroda"
EPI_ISL_408667	BetaCoV/Japan/TY-WK-521/2020	Asia / Japan / Tokyo	2020-01-31	"Dept. of Virology III, National Institute of Infectious Diseases"	"Pathogen Genomics Center, National Institute of Infectious Diseases"	"Tsuyoshi Sekizuka, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Makoto Takeda, Makoto Kuroda"
EPI_ISL_408669	BetaCoV/Japan/KY-V-029/2020	Asia / Japan / Kyoto	2020-01-29	"Dept. of Virology III, National Institute of Infectious Diseases"	"Pathogen Genomics Center, National Institute of Infectious Diseases"	"Tsuyoshi Sekizuka, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Makoto Takeda, Makoto Kuroda"
EPI_ISL_407084	BetaCoV/Japan/AI/I-004/2020	Asia / Japan / Aichi	2020-01-25	"Department of Virology III, National Institute of Infectious Diseases"	"Pathogen Genomics Center, National Institute of Infectious Diseases"	"Tsuyoshi Sekizuka, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Shinji Watanabe, Makoto Takeda, Makoto Kuroda"
EPI_ISL_403931	BetaCoV/Wuhan/IPBCAMS-WH-02/2019	Asia / China / Hubei / Wuhan	2019-12-30	"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College"	"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College"	"Lili Ren, Jianwei Wang, Qi Jin, Zichun Xiang, Zhiqiang Wu, Chao Wu, Yiwei Liu"
EPI_ISL_403929	BetaCoV/Wuhan/IPBCAMS-WH-04/2019	Asia / China / Hubei / Wuhan	2019-12-30	"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College"	"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College"	"Lili Ren, Jianwei Wang, Qi Jin, Zichun Xiang, Zhiqiang Wu, Chao Wu, Yiwei Liu"
EPI_ISL_403928	BetaCoV/Wuhan/IPBCAMS-WH-05/2020	Asia / China / Hubei / Wuhan	2020-01-01	"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College"	"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College"	"Lili Ren, Jianwei Wang, Qi Jin, Zichun Xiang, Zhiqiang Wu, Chao Wu, Yiwei Liu"
EPI_ISL_408670	BetaCoV/USA/WI1/2020	North America / USA / Wisconsin	2020-01-31	Wisconsin Department of Health Services	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"	"Jing Zhang, Anna Uehara, Krista Queen, Yan Li, Ying Tao, Clinton R. Paden, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_406595	BetaCoV/Shenzhen/SZTH-004/2020	Asia / China / Guandong / Shenzhen	2020-01-16	"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital"	"Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital"	"Yang Yang, Chenguang Shen, Li Xing, Zhixiang Xu, Haixia Zheng, Yingxia Liu"
EPI_ISL_406031	BetaCoV/Taiwan/2/2020	Asia / Taiwan / Kaohsiung	2020-01-23	"Centers for Disease Control, R.O.C. (Taiwan)"	"Centers for Disease Control, R.O.C. (Taiwan)"	"Ji-Rong Yang, Yu-Chi Lin, Jung-Jung Mu, Ming-Tsan Liu, Shu-Ying Li"
EPI_ISL_408976	BetaCoV/Sydney/2/2020	Oceania / Australia / New South Wales / Sydney	2020-01-22	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	"Rockett R, Sadsad R, Eden J-S, Carter I, Rahman H, Holmes EC, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group*"
EPI_ISL_408977	BetaCoV/Sydney/3/2020	Oceania / Australia / New South Wales / Sydney	2020-01-25	"Serology, Virology and OTDS Laboratories (SAViD), NSW Health Pathology Randwick"	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Centre for Infectious Diseases and Microbiology Laboratory Services; Westmead Hospital; University of Sydney	"Eden J-S, Carter I, Rahman H, Rawlinson W, Holmes EC, Rockett R, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group*"
EPI_ISL_410045	BetaCoV/USA/IL2/2020	North America / USA / Illinois	2020-01-28	IL Department of Public Health Chicago Laboratory 	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention "	"Yan Li, Jing Zhang, Krista Queen, Ying Tao, Anna Uehara, Clinton R. Paden, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_410044	BetaCoV/USA/CA6/2020	North America / USA / California	2020-01-27	California Department of Public Health 	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention "	"Jing Zhang, Krista Queen, Yan Li, Ying Tao, Anna Uehara, Clinton R. Paden, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_409067	BetaCoV/USA/MA1/2020	North America / USA / Massachusetts	2020-01-29	Massachusetts Department of Public Health	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention "	"Clinton R. Paden, Jing Zhang, Krista Queen, Yan Li, Ying Tao, Anna Uehara, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_408478	BetaCoV/Chongqing/YC01/2020	Asia / China / Chongqinq / Yongchuan	2020-01-21	Yongchuan District Center for Disease Control and Prevention	Chongqing Municipal Center for Disease Control and Prevention	"Ye Sheng, Tang Yun, Ling Hua,Yu zhen,Chen Shuang,Tan ZhangPing, Su Kun, Li Qing, Tang Wenge, Rong Rong"
EPI_ISL_408479	BetaCoV/Chongqing/ZX01/2020	Asia / China / Chongqing / Zhongxian	2020-01-23	Zhongxian Center for Disease Control and Prevention	Chongqing Municipal Center for Disease Control and Prevention	"Ye Sheng, Tang Yun, Ling Hua, Zhang Hong, Yu zhen,Chen Shuang,Tan ZhangPing, Su Kun, Li Qin, Tang Wenge, Rong Rong"
EPI_ISL_410218	BetaCov/Taiwan/NTU02/2020	Asia / Taiwan / Taipei	2020-02-05	"Department of Laboratory Medicine, National Taiwan University Hospital"	"Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine"	"Shiou-Hwei Yeh, You-Yu Lin, Ya-Yun Lai, Chiao-Ling Li, Shan-Chwen Chang, Pei-Jer Chen, Sui-Yuan Chang"
EPI_ISL_408487	BetaCoV/Henan/IVDC-HeN-002/2020	Asia / China / Henan / Zhengzhou	2020-01-20	"National Institute for Viral Disease Control and Prevention, China CDC "	"National Institute for Viral Disease Control & Prevention, China CDC"	"Wenjie Tan, Jin Xu, Wenling Wang, Peihua Niu, Roujian Lu, Xueyong Huang, Xiang Zhao, Baoying Huang, Li Zhao, Fei Ye, Wenbo Xu, George F. Gao, Guizhen Wu "
EPI_ISL_408483	BetaCoV/Shanghai/IVDC-SH-001/2020	Asia / China / Shanghai	2020-01-20	"National Institute for Viral Disease Control and Prevention, China CDC "	"National Institute for Viral Disease Control & Prevention, CCDC"	"Wenjie Tan_Zhen Teng,Xiang Zhao_Wenling Wang_ Peihua Niu_Roujian Lu,Chongshan Li,Baoying Huang_Li Zhao_Fei Ye_Wenbo Xu_George F. Gao_Guizhen Wu "
EPI_ISL_408485	BetaCoV/Beijing/IVDC-BJ-005/2020	Asia / China / Beijing	2020-01-18	"National Institute for Viral Disease Control and Prevention, China CDC "	"National Institute for Viral Disease Control & Prevention, CCDC"	"Wenjie Tan,Quanyi Wang,Wenling Wang, Peihua Niu,Roujian Lu,Yang Pan,Xiang Zhao,Baoying Huang,Li Zhao,Fei Ye,Wenbo Xu,George F. Gao,Guizhen Wu "
EPI_ISL_408511	BetaCoV/Wuhan/IVDC-HB-envF13/2020	Asia / China / Hubei / Wuhan	2020-01-01	"Institute of Viral Disease Control and Prevention, China CDC"	"Institute of Viral Disease Control and Prevention, China CDC"	"William J. Liu, Peipei Liu, Xiang Zhao, Peihua Niu, Yingze Zhao, Wenwen Lei, Ziqian Xu, Beiwei Ye, Weifeng Shi, Roujian Lu, Wenjie Tan, Zhixiao Chen, Yuchao Wu, Juan Song, Dayan Wang, Jun Han, Wenbo Xu, George F. Gao, Guizhen Wu"
EPI_ISL_408512	BetaCoV/Wuhan/IVDC-HB-envF54/2020	Asia / China / Hubei / Wuhan	2020-01-01	"Institute of Viral Disease Control and Prevention, China CDC"	"Institute of Viral Disease Control and Prevention, China CDC"	"William J. Liu, Peipei Liu, Xiang Zhao, Peihua Niu, Yingze Zhao, Wenwen Lei, Ziqian Xu, Beiwei Ye, Weifeng Shi, Roujian Lu, Wenjie Tan, Zhixiao Chen, Yuchao Wu, Juan Song, Dayan Wang, Jun Han, Wenbo Xu, George F. Gao, Guizhen Wu"
EPI_ISL_408513	BetaCoV/Wuhan/IVDC-HB-envB5/2020	Asia / China / Hubei / Wuhan	2020-01-01	"Institute of Viral Disease Control and Prevention, China CDC"	"Institute of Viral Disease Control and Prevention, China CDC"	"William J. Liu, Peipei Liu, Xiang Zhao, Peihua Niu, Yingze Zhao, Wenwen Lei, Ziqian Xu, Beiwei Ye, Weifeng Shi, Roujian Lu, Wenjie Tan, Zhixiao Chen, Yuchao Wu, Juan Song, Dayan Wang, Jun Han, Wenbo Xu, George F. Gao, Guizhen Wu"
EPI_ISL_408978	BetaCoV/Wuhan/WH05/2020	Asia / China / Hubei / Wuhan	2020-02-07	Wuhan Fourth Hospital 	Beijing Genomics Institute (BGI) 	Weijun Chen 
EPI_ISL_410302	BetaCoV/Philippines/026/2020	Asia / Philippines	2020-01-26	unknown	"Amalea Dulcene Nicolasora Research Institute for Tropical Medicine, Molecular Biology Laboratory"	"Nicolasora,A.D., Mercado,E.S., Polotan,F.M., Manalo,J.G., Medado,I.P., Tujan,M.A., Onza,O.T. and Cruz,K.M."
EPI_ISL_410314	BetaCoV/Philippines/026N/2020	Asia / Philippines	2020-02-06	unknown	"Joanna Ina Manalo Research Institute for Tropical Medicine, Molecular Biology Laboratory"	"Manalo,J.I. and Nicolasora,A.D."
EPI_ISL_410344	BetaCoV/Philippines/025N/2020	Asia / Philippines	2020-01-26	unknown	"Joanna Ina Manalo Research Institute for Tropical Medicine, Molecular Biology Laboratory"	"Mercado,E.S., Manalo,J.I., Nicolasora,A.D., Medado,I.P., Tujan,M.A., Onza,O.T., Cruz,K.M. and Polotan,F.M."
EPI_ISL_410345	BetaCoV/Philippines/022N/2020	Asia / Philippines	2020-01-23	unknown	"Joanna Ina Manalo Research Institute for Tropical Medicine, Molecular Biology Laboratory"	"Mercado,E.S., Manalo,J.I., Nicolasora,A.D., Medado,I.P., Tujan,M.A., Onza,O.T., Cruz,K.M. and Polotan,F.M."
EPI_ISL_410486	BetaCoV/France/RA739/2020	Europe / France / Rhone-Alpes / Contamines	2020-02-08	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires - France SUD	"Bal, Antonin; Destras, Gregory; Gaymard, Alexandre; Bouscambert-Duchamp, Maude; Cheynet, Valérie; Brengel-Pesce, Karen; Morfin-Sherpa, Florence; Valette, Martine; Josset, Laurence; Lina, Bruno."
EPI_ISL_402125	BetaCoV/Wuhan-Hu-1/2019	Asia / China	2019-12-31	unknown	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	"Zhang,Y.-Z., Wu,F., Chen,Y.-M., Pei,Y.-Y., Xu,L., Wang,W., Zhao,S., Yu,B., Hu,Y., Tao,Z.-W., Song,Z.-G., Tian,J.-H., Zhang,Y.-L., Liu,Y., Zheng,J.-J., Dai,F.-H., Wang,Q.-M., She,J.-L. and Zhu,T.-Y."
EPI_ISL_410301	BetaCoV/Nepal/61/2020	Asia / Nepal / Kathmandu	2020-01-13	"National Influenza Centre, National Public Health Laboratory, Kathmandu, Nepal"	The University of Hong Kong	"Ranjit Sah , Runa Jha, Daniel Chu, Haogao Gu, Malik Peiris, Anup Bastola, Alfonso J. Rodriguez-Morales, Bibek Kumar Lal, Basu Dev Pandey, Leo Poon"
EPI_ISL_410487	BetaCoV/Malaysia/CL5045/2020	Asia / Malaysia	2020-01-24	unknown	National Public Health Laboratory	"Yu Kie,C., Norazimah,T., Rehan Shuhada,A.B., Selvanesan,S., Noorliza,M.N. and Hani,M.H."
EPI_ISL_410488	BetaCoV/Malaysia/CL5047/2020	Asia / Malaysia	2020-01-24	unknown	National Public Health Laboratory	"Yu Kie,C., Norazimah,T., Rehan Shuhada,A.B., Selvanesan,S., Noorliza,M.N. and Hani,M.H."
EPI_ISL_410489	BetaCoV/Malaysia/CL5049/2020	Asia / Malaysia	2020-01-24	unknown	National Public Health Laboratory	"Yu Kie,C., Norazimah,T., Rehan Shuhada,A.B., Selvanesan,S., Noorliza,M.N. and Hani,M.H."
EPI_ISL_410532	BetaCoV/Japan/OS-20-07-1/2020	Asia / Japan / Osaka	2020-01-23	"Dept. of Pathology, National Institute of Infectious Diseases"	"Pathogen Genomics Center, National Institute of Infectious Diseases"	"Tsuyoshi Sekizuka, Harutaka Katano, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Motoi Suzuki, Hideki Hasegawa, Takaji Wakita, Makoto Takeda, Tadaki Suzuki, Makoto Kuroda"
EPI_ISL_410531	BetaCoV/Japan/NA-20-05-1/2020	Asia / Japan / Nara	2020-01-25	"Dept. of Pathology, National Institute of Infectious Diseases"	"Pathogen Genomics Center, National Institute of Infectious Diseases"	"Tsuyoshi Sekizuka, Harutaka Katano, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Motoi Suzuki, Hideki Hasegawa, Takaji Wakita, Makoto Takeda, Tadaki Suzuki, Makoto Kuroda"
EPI_ISL_410535	BetaCoV/Singapore/4/2020	Asia / Singapore	2020-02-03	National Centre for Infectious Diseases	"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"	"Danielle E Anderson, Martin Linster, Yan Zhuang, Jayanthi Jayakumar, David CB Lye, Yee Sin Leo, Barnaby E Young, Yvonne CF Su, Gavin JD Smith"
EPI_ISL_410537	BetaCoV/Singapore/6/2020	Asia / Singapore	2020-02-09	"Singapore General Hospital, Molecular Laboratory, Division of Pathology"	"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"	"Danielle E Anderson, Martin Linster, Yan Zhuang, Jayanthi Jayakumar, Kian Sing Chan, Lynette LE Oon, Shirin Kalimuddin, Jenny GH Low, Yvonne CF Su, Gavin JD Smith"
EPI_ISL_410536	BetaCoV/Singapore/5/2020	Asia / Singapore	2020-02-06	"Singapore General Hospital, Molecular Laboratory, Division of Pathology"	"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"	"Danielle E Anderson, Martin Linster, Yan Zhuang, Jayanthi Jayakumar, Kian Sing Chan, Lynette LE Oon, Shirin Kalimuddin, Jenny GH Low, Yvonne CF Su, Gavin JD Smith"
EPI_ISL_407215	BetaCoV/USA/WA1-F6/2020	North America / USA / Washington	2020-01-25	Washington State Department of Health	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"	"Krista Queen, Azaibi Tamin, Jennifer Harcourt, Ying Tao, Clinton R. Paden, Jing Zhang, Yan Li, Anna Uehara, Xiaoyan Lu, Shifaq Kamili, Rashi Gautam, Haibin Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Natalie Thornburg, Suxiang Tong"
